url,name,price,merchant,image
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_JfHAnpopHabm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_ypopHFosnaomFiyRCsUstfo_nDUMVj9RosQR-BUstposrXHAJN6AyRH_rfHAJ7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oI26uJJF_32s8jN1e_CoqMoE_BzCH1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32-P1NEZ_zoqjja_M2u81NkypV68BBdZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkqRxqqj2D_BzzP7h1z9B68MP7_jzGqJY_H3B6Qu2t_Vzz8jOkz_uvuOuN_jzgoV2_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBD6IB6zsxR3I2mgjOc63gozsxR3I2mgjOAZ9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk__-68_zR_uz0oJNkyRx68BBR_uzzq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81YJqRu6uVJh_320o1OEz_C6zJuN_jzoq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEopJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstpo_Jp6ZFirI-2yfuwyMBjUstfo_nDUMP5y3hwq3ei6soY?ob=23&dv=desktop&page=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Flifestyle-3c%2Foppo-a57-hp-ram-3-32gb-kamera-16mp-13mp-4g-lte-smartphone-gold%3Fsrc%3Dtopads&src=directory&management_type=1,oppo A57 hp ram 3/32GB Kamera 16MP+13MP 4G LTE smartphone - gold,Rp699.000,Bekasi,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Jdo_rOo_eabm-xgVY789CBUsthbm-FQRo2PcB5QiUEHiFiPcBWgZUEH_ypopHFosnaomFiyRCsUstfHAnDUMVj9RosQR-BUstpo_HXoAJRoA1hHsJOosHh6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zE_92o8jOE_92o8jOE_92o8jOE__V-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkyRuouJJO_1zCHJNE__uo8j7a_jz08jB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMWd3M2GQJN119PHuJuN_S2SPJNJZMxv1pV2_MOqqJh1192oqj1O_OPu81NJ3_zq17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7h_9j7HJO1ypC6uJuN_uzuHjOEz_u-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMPd_c2VP7Nke_C6ucHa_7z-HjO_Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEopJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6AKN6ZFirI-2yfuwyMBjUstfHAnDUMP5y3hwq3ei6soY?page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fdafu99%2Foppo-a37-2-16gb-2-16-gold%3Fsrc%3Dtopads&src=directory&ob=23&management_type=1&t=desktop,OPPO A37 2/16GB - 2/16,Rp579.000,Dafu,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Hpo_ydoAJfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_ypopHFosnaomFiyRCsUstpHAnFbm-xgVYpyfYagZUEHp1absndHsU7oAjpHArdoA1Obm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAoAu6qB1F_1zg81NEu9x6zJJp_7zSHJB2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1OEe_u6qMWN_M2s8JOEqpC68MDOZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkqRxqqj2D_BzzP7h1z9B68MP7_jzGqJY_H3B6Qu2t_Vzz8jOkz_uvuOuN_jzgoV2_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBD6IB6zsxR3I2mgjOc63gozsxR3I2mgjOAZ9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk__Voq_zR_7z-81NJ1_uo8jJp_7zzH1N_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9xo1peF_32s8JNkgpV68jON_7z0oJN2Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2Qos1DHseDHpnOou7DUMNwyfVXgcBjy9zB9fVjraUEopJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstposy7oaFirI-2yfuwyMBjUstpHAnFbm-SQfVD9fBjUstpwe?t=desktop&dv=desktop&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fnewrizkyapple%2Fiphone-13-pro-max-dual-5g-1tb-512gb-256gb-128gb-pro-not-mini-12-14-13-pro-128gb-graphite-single%3Fsrc%3Dtopads&src=directory&ob=23&management_type=1,iPhone 13 Pro Max DUAL 5G 1TB 512GB 256GB 128GB Pro - not Mini 12 14,Rp19.300.000,New Rizkyapple,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_U7osUN6A1dbm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_ypopHFosnaomFiyRCsUst7HAnDUMVj9RosQR-BUstpo_JXo_1po_K7HAeaosjF6_eDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7HJNEyR2oqBjO_M2So1NE__o6zcoR_Bo-r7BW_sCsQABE3BPc8ujagfBvq1jF_c2VHjNk3_-6qBja_M2gHjNk3_-6q1BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-o1O939BquV1F_1HF8JOkypzHuVVN3uz0PVBk3MOg1pnF_92-8JY1QchoqBJa_7Puq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGgjOk1MgozsxR3I2mgBxEeMgozsxR3I2Cq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-8jN1z9u6uVuE_BzSHJOJ19B6qMWR_Ozzq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81YJ_9uozcod_Oz0P7Oku9P6qMDa_Bzgq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2Qos1DHseDHpnO6V7DUMNwyfVXgcBjy9zB9fVjraUEopJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstpopjaoZFirI-2yfuwyMBjUst7HAnDUMP5y3hwq3ei6soY?r=https%3A%2F%2Fwww.tokopedia.com%2Fjvish%2Fhandphone-hp-samsung-flip-lipat-caramel-gt-e1272-hitam%3Fsrc%3Dtopads&src=directory&management_type=1&t=desktop&dv=desktop&page=1&ob=23,Handphone HP Samsung Flip Lipat Caramel GT-E1272,Rp149.000,Jvi shop,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_JdHpjOHsUhbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_ypopHFosnaomFiyRCsUstaHAnFbm-xgVYpyfYagZUEHpeNbsnpHs1h6Ae7HpUF6AKfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oAzvzcr7_7zSoJYJgpzvzcr7_7zSoJB2PfBgHO-N3Ao6QVByZM2xe7jfZ32zP1NE39xvuJJF_S2g8JY1e_C68BBNZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkqRxqqj2D_BzzP7h1z9B68MP7_jzGqJY_H3B6Qu2t_Vzz8jOkz_uvuOuN_jzgoV2_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBD6IB6zsxR3I2mgjOc63gozsxR3I2mgjOAZ9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk__Cv1pzR_92-H1O1gpC6zJON_1zSoJN2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9P68_zN_jzso1OkZ_u6zcDp_BzVo1BXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2Qos1DHseDHpnOou7DUMNwyfVXgcBjy9zB9fVjraUEopJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstRoAeDUSCaq3oB9f-2gmUEHsnFHmFigfYxQVY2gmUEHR7?ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fwishph%2Fiphone-xs-64gb-256gb-second-like-new-99-mulus-fullset-garansi-hitam-64gb%3Fsrc%3Dtopads&src=directory&t=desktop&page=1&management_type=1,iPhone XS 64GB/256GB SECOND LIKE NEW 99% MULUS FULLSET - GARANSI,Rp5.000.000,Wish Phonestore,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://www.tokopedia.com/ptpratamasemesta/iphone-xr-garansi-resmi-ibox-putih-64-new-package?whid=0,Iphone XR Garansi Resmi Ibox,Rp8.749.000,PT Pratama Sntra Semesta,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://www.tokopedia.com/rajaponsel/samsung-galaxy-a22-5g-ram-6-128gb-garansi-resmi-gray?whid=0,SAMSUNG Galaxy A22 5G RAM 6/128GB Garansi Resmi,Rp3.299.000,Rajaponsel Official,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://www.tokopedia.com/ptpratamasemesta/iphone-11-128gb-garansi-resmi-tam-ibox-black-64-new-packed?whid=0,Iphone 11 128GB Garansi Resmi TAM / Ibox,Rp10.749.000,PT Pratama Sntra Semesta,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://www.tokopedia.com/supergadgettt/samsung-galaxy-a72-8-128-8-256-kamera-4k-gb-ram-8-rom-128-256-resmi-awesome-violet-a72-8-128gb?whid=0,Samsung Galaxy A72 8/128 8/256 Kamera 4K GB RAM 8 ROM 128 256 Resmi,Rp5.285.000,SUPER_GADGET,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
https://www.tokopedia.com/shopyzid/samsung-galaxy-m32-nfc-5000mah-6gb-128gb-6-128-garansi-resmi-hitam?whid=0,SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi,Rp2.899.900,Shopyz ID,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC"
